Year,PlayerID,TourID,EventID,Event_Code,Host,Location,Game,Buy_In,Total_Entries,Counted_Entries,Entries/Indivdual,Buy_In_Est_Rebuys,Cashed,Won,Points,Place,PGT_Point,Amount_Won,Net
2015,1241,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,1,1,439,1,900,7525000,7025000
2015,1240,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,1,0,311,2,800,5160000,4660000
2015,1239,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,1,0,254,3,600,3225000,2725000
2015,1238,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,1,0,220,4,500,2150000,1650000
2015,1237,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,1,0,196,5,450,1505000,1005000
2015,1236,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,1,0,179,6,400,1075000,575000
2015,1235,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,1,0,166,7,258,860000,360000
2015,1242,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1243,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1244,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1245,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1246,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1247,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1248,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1249,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1250,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1251,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1252,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1253,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1254,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
2015,1255,124,235,124235,PokerGo Studios,"Las Vegas, NV",NLH,500000,43,43,1,500000,0,0,0,0,0,0,-500000
